,0,1,2,3,4
73,109,富国稳健增强债券C,http://fund.eastmoney.com/000109.html,0.34%,0.00%
74,110,金鹰元安混合A,http://fund.eastmoney.com/000110.html,0.39%,0.08%
75,111,易方达纯债1年定开债A,http://fund.eastmoney.com/000111.html,0.00%,0.06%
76,112,易方达纯债1年定开债C,http://fund.eastmoney.com/000112.html,0.00%,0.00%
77,113,嘉实如意宝定期债券A/B,http://fund.eastmoney.com/000113.html,0.00%,0.05%
78,115,嘉实如意宝定期债券C,http://fund.eastmoney.com/000115.html,0.00%,0.00%
79,116,嘉实丰益纯债定期债券,http://fund.eastmoney.com/000116.html,---,0.06%
80,117,广发轮动配置混合,http://fund.eastmoney.com/000117.html,0.16%,0.15%
81,118,广发聚鑫债券A,http://fund.eastmoney.com/000118.html,0.66%,0.08%
82,119,广发聚鑫债券C,http://fund.eastmoney.com/000119.html,0.66%,0.00%
83,120,中银美丽中国混合,http://fund.eastmoney.com/000120.html,0.29%,0.15%
84,121,华夏永福混合A,http://fund.eastmoney.com/000121.html,0.21%,0.08%
85,122,汇添富实业债债券A,http://fund.eastmoney.com/000122.html,0.08%,0.10%
86,123,汇添富实业债债券C,http://fund.eastmoney.com/000123.html,0.00%,0.00%
87,124,华宝服务优选混合,http://fund.eastmoney.com/000124.html,0.37%,0.15%
88,126,招商安润混合,http://fund.eastmoney.com/000126.html,1.34%,0.15%
89,127,农银行业领先混合,http://fund.eastmoney.com/000127.html,0.54%,0.15%
90,128,大成景安短融债券A,http://fund.eastmoney.com/000128.html,0.03%,0.00%
91,129,大成景安短融债券B,http://fund.eastmoney.com/000129.html,0.03%,0.00%
92,130,大成景兴信用债债券A,http://fund.eastmoney.com/000130.html,0.29%,0.08%
93,131,大成景兴信用债债券C,http://fund.eastmoney.com/000131.html,0.29%,0.00%
94,134,中信保诚嘉鸿债券A,http://fund.eastmoney.com/000134.html,0.04%,0.80%
95,135,中信保诚嘉鸿债券C,http://fund.eastmoney.com/000135.html,0.00%,0.00%
96,136,民生加银策略精选混合A,http://fund.eastmoney.com/000136.html,0.41%,0.15%
97,137,民生加银岁岁增利债券A,http://fund.eastmoney.com/000137.html,0.02%,0.06%
98,138,民生加银岁岁增利债券C,http://fund.eastmoney.com/000138.html,0.02%,0.00%
99,139,富国国有企业债债券A/B,http://fund.eastmoney.com/000139.html,0.03%,0.08%
100,141,富国国有企业债债券C,http://fund.eastmoney.com/000141.html,0.02%,0.00%
101,142,融通增强收益债券A,http://fund.eastmoney.com/000142.html,0.15%,0.08%
102,143,鹏华双债加利债券,http://fund.eastmoney.com/000143.html,0.21%,0.08%
103,147,易方达高等级信用债债券A,http://fund.eastmoney.com/000147.html,0.00%,0.08%
104,148,易方达高等级信用债债券C,http://fund.eastmoney.com/000148.html,0.00%,0.00%
105,149,华安双债添利债券A,http://fund.eastmoney.com/000149.html,0.06%,0.08%
106,150,华安双债添利债券C,http://fund.eastmoney.com/000150.html,0.06%,0.00%
107,152,大成景旭纯债债券A,http://fund.eastmoney.com/000152.html,0.04%,0.08%
108,153,大成景旭纯债债券C,http://fund.eastmoney.com/000153.html,0.03%,0.00%
109,165,国投瑞银策略精选混合,http://fund.eastmoney.com/000165.html,0.49%,0.15%
110,166,中海信息产业精选混合,http://fund.eastmoney.com/000166.html,1.33%,0.15%
111,167,广发聚优灵活配置混合A,http://fund.eastmoney.com/000167.html,0.21%,0.15%
112,171,易方达裕丰回报债券,http://fund.eastmoney.com/000171.html,0.29%,0.10%
113,172,华泰柏瑞量化增强混合A,http://fund.eastmoney.com/000172.html,1.31%,0.12%
114,173,汇添富美丽30混合,http://fund.eastmoney.com/000173.html,0.06%,0.15%
115,174,汇添富高息债债券A,http://fund.eastmoney.com/000174.html,0.06%,0.10%
116,175,汇添富高息债债券C,http://fund.eastmoney.com/000175.html,0.00%,0.00%
117,176,嘉实沪深300指数研究增强,http://fund.eastmoney.com/000176.html,0.82%,0.10%
118,179,广发美国房地产指数,http://fund.eastmoney.com/000179.html,---,0.13%
119,180,广发美国房地产指数现汇,http://fund.eastmoney.com/000180.html,---,---
120,181,景顺长城四季金利债券A,http://fund.eastmoney.com/000181.html,0.00%,0.08%
121,182,景顺长城四季金利债券C,http://fund.eastmoney.com/000182.html,0.00%,0.00%
122,183,嘉实丰益策略定期债券,http://fund.eastmoney.com/000183.html,---,0.06%
123,184,工银添福债券A,http://fund.eastmoney.com/000184.html,0.12%,0.08%
124,185,工银添福债券B,http://fund.eastmoney.com/000185.html,0.06%,0.00%
125,186,华泰柏瑞季季红债券,http://fund.eastmoney.com/000186.html,0.02%,0.08%
126,187,华泰柏瑞丰盛纯债债券A,http://fund.eastmoney.com/000187.html,0.02%,0.08%
127,188,华泰柏瑞丰盛纯债债券C,http://fund.eastmoney.com/000188.html,0.03%,0.00%
128,189,易方达丰华债券A,http://fund.eastmoney.com/000189.html,0.45%,0.08%
