,0,1,2,3,4
0,010174,英大智享债券A,http://fund.eastmoney.com/010174.html,0.25%,0.08%
1,010175,英大智享债券C,http://fund.eastmoney.com/010175.html,0.25%,0.00%
2,010176,中加新兴消费混合A,http://fund.eastmoney.com/010176.html,0.22%,0.15%
3,010177,中加新兴消费混合C,http://fund.eastmoney.com/010177.html,0.23%,0.00%
4,010178,大成企业能力驱动混合A,http://fund.eastmoney.com/010178.html,---,0.15%
5,010179,大成企业能力驱动混合C,http://fund.eastmoney.com/010179.html,---,0.00%
6,010180,华夏科技龙头两年定开混合,http://fund.eastmoney.com/010180.html,---,---
7,010181,兴业优势产业混合A,http://fund.eastmoney.com/010181.html,0.24%,0.15%
8,010182,兴业优势产业混合C,http://fund.eastmoney.com/010182.html,0.24%,0.00%
9,010183,南方创业板ETF联接E,http://fund.eastmoney.com/010183.html,0.95%,0.00%
10,010185,中金瑞康灵活配置混合,http://fund.eastmoney.com/010185.html,0.01%,---
11,010186,嘉实核心成长混合A,http://fund.eastmoney.com/010186.html,1.04%,0.15%
12,010187,嘉实核心成长混合C,http://fund.eastmoney.com/010187.html,1.03%,0.00%
13,010188,中欧添益一年混合A,http://fund.eastmoney.com/010188.html,0.12%,0.08%
14,010189,中欧添益一年混合C,http://fund.eastmoney.com/010189.html,0.12%,0.00%
15,010190,嘉实价值发现三个月定开混合,http://fund.eastmoney.com/010190.html,2.77%,---
16,010191,华夏鼎信债券A,http://fund.eastmoney.com/010191.html,0.07%,0.08%
17,010192,华夏鼎信债券C,http://fund.eastmoney.com/010192.html,0.07%,0.00%
18,010193,农银养老2045五年持有混合(...,http://fund.eastmoney.com/010193.html,---,0.08%
19,010194,博时睿祥15个月定开混合A,http://fund.eastmoney.com/010194.html,---,0.10%
20,010195,博时睿祥15个月定开混合C,http://fund.eastmoney.com/010195.html,---,0.00%
21,010196,易方达核心优势股票A,http://fund.eastmoney.com/010196.html,-0.20%,0.15%
22,010197,易方达核心优势股票C,http://fund.eastmoney.com/010197.html,-0.21%,0.00%
23,010198,易方达竞争优势企业混合A,http://fund.eastmoney.com/010198.html,-0.12%,0.15%
24,010199,长信添利安心收益混合A,http://fund.eastmoney.com/010199.html,0.19%,---
25,010200,长信添利安心收益混合C,http://fund.eastmoney.com/010200.html,0.19%,---
26,010201,农银汇理智增一年定开混合,http://fund.eastmoney.com/010201.html,---,0.15%
27,010202,天弘中证科技100指数增强A,http://fund.eastmoney.com/010202.html,2.00%,0.15%
28,010203,天弘中证科技100指数增强C,http://fund.eastmoney.com/010203.html,2.00%,0.00%
29,010204,中银港股通优势成长股票,http://fund.eastmoney.com/010204.html,---,0.15%
30,010205,国寿安保裕安混合A,http://fund.eastmoney.com/010205.html,0.10%,---
31,010206,国寿安保裕安混合C,http://fund.eastmoney.com/010206.html,0.10%,---
32,010210,国泰中证计算机主题ETF联接C,http://fund.eastmoney.com/010210.html,2.02%,---
33,010211,景顺长城顺鑫回报混合A,http://fund.eastmoney.com/010211.html,0.23%,0.10%
34,010212,景顺长城顺鑫回报混合C,http://fund.eastmoney.com/010212.html,0.23%,0.00%
35,010213,中欧互联网先锋混合A,http://fund.eastmoney.com/010213.html,-0.32%,0.15%
